,name,community_status,lifetime_investment,city,st_abb,pop_change_10_11,pop_change_11_12,pop_change_12_13,pop_change_13_14,pop_change_14_15,pop_change_15_16,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,residentcount,edu_event,dist_event,home_assess,comm_prep,mitigation,other
63,Barrington Heights,In Good Standing,14812.08,West Linn,OR,0.00712331965266853,0.00980727893450223,0.0121459074083253,0.0162244358819057,0.0173983616120115,0.0172304624205409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,3841.65,2970.43,0.0,400.0,1.0,0.0,0.0,2.0,0.0,0.0
64,Barton Creek Lakeside,In Good Standing,300287.0,Spicewood,TX,0.0303608977176686,0.0322679680333905,0.0226489387130265,0.0256211706519839,0.0218758806890337,0.0208585500051923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,61000.0,26000.0,16672.0,18615.0,0.0,500.0,4.0,4.0,0.0,0.0,0.0,0.0
65,Barton Creek West,In Good Standing,62897.0,Austin,TX,0.0303608977176686,0.0322679680333905,0.0226489387130265,0.0256211706519839,0.0218758806890337,0.0208585500051923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4376.0,5221.0,29074.0,24226.0,0.0,1400.0,0.0,1.0,3.0,1.0,0.0,0.0
66,Barton Road,Inactive,,--,OR,,,,,,,,,,,,,,,,,,,,,,70.0,3.0,0.0,0.0,1.0,0.0,0.0
67,Base Camp,Inactive,1350.0,Stanley,ID,-0.00160550458715596,-0.000918906501263496,-0.0246033570935847,-0.0216878830740217,-0.0151807228915663,0.00220210423293369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
68,Bass Lake,In Good Standing,77948.35,Cohasset,MN,0.00226586102719033,0.00250454364111884,0.00466494218566912,0.000550151841908367,-0.00153957815558537,-0.00341432253232592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34428.0,21785.0,4729.35,17006.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0
69,Batesville,In Good Standing,92157.44,Batesville,MS,-0.00424144497662877,-0.0019414099852221,-0.000667750551620021,-0.00017431219313791,-0.0076420165625454,0.000351370344342937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17407.44,18500.0,21250.0,35000.0,0.0,7439.0,1.0,6.0,0.0,1.0,0.0,1.0
70,Bay Tree Lakes,In Good Standing,24060.5,Harrells,NC,-0.00432358630105814,-0.00234258941835219,-0.00320714735696695,-0.00801493823613904,-0.0076742637050766,-0.015321309753108,0.0,0.0,0.0,6043.0,1173.0,1190.0,1248.0,1042.0,1367.0,1367.0,1602.0,2767.5,3033.0,3228.0,0.0,400.0,6.0,9.0,0.0,1.0,0.0,6.0
71,Bay Village,In Good Standing,2495.2,Cherry Valley,AR,-0.00487859586160489,-0.00535331905781585,-0.0090079882159651,-0.0177223873770867,0.00582004423233617,-0.0141765999305636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.2,1294.0,0.0,500.0,0.0,1.0,0.0,1.0,0.0,0.0
72,Beacon Rock,In Good Standing,114045.56,North Bonneville,WA,0.00270172910662824,0.00269444943416562,0.00841992117520602,0.007106057914372,-0.00255777032986417,0.0177734547705367,0.0,0.0,0.0,0.0,0.0,0.0,8571.0,0.0,63466.0,17430.0,5200.0,9544.0,5020.56,4814.0,0.0,1100.0,0.0,2.0,0.0,4.0,1.0,0.0
